source_record_id,event_id,episode_id,state_code,state_name,county_zone_code,county_zone_name,event_type,hazard_group,begin_datetime,end_datetime,source_type,magnitude,magnitude_type,injuries_direct,injuries_indirect,fatalities_direct,fatalities_indirect,damage_property_text,damage_crops_text,event_narrative,synthetic_record_flag
SRC_EVT_0000015,EVT0000015,EPI000008,SW02,Cascade,Z028,Cascade Zone 08,Excessive Heat,Temperature,2025-05-19T05:09:53Z,2025-05-26T00:05:53Z,Emergency Manager,110.9,F,0,0,0,0,11.96K,0,Synthetic excessive heat training event in Cascade Zone 08; no real incident or person is represented.,Y
SRC_EVT_0000016,EVT0000016,EPI000008,SW09,Gulf Reach,Z164,Gulf Reach Zone 04,Excessive Heat,Temperature,2025-04-20T15:03:23Z,2025-04-25T08:10:23Z,Public Report,105.2,F,0,0,0,0,23.33K,0,Synthetic excessive heat training event in Gulf Reach Zone 04; no real incident or person is represented.,Y
SRC_EVT_0000017,EVT0000017,EPI000008,SW06,Prairie North,Z117,Prairie North Zone 17,Heat,Temperature,2025-01-03T10:25:34Z,2025-01-07T23:25:34Z,Fire Department,105.8,F,0,0,0,0,0,0,Synthetic heat training event in Prairie North Zone 17; no real incident or person is represented.,Y
SRC_EVT_0000018,EVT0000018,EPI000009,SW12,Northeast Corridor,Z228,Northeast Corridor Zone 08,Thunderstorm Wind,Convective,2025-04-06T10:38:32Z,2025-04-06T16:43:32Z,Public Report,41.9,KT,0,0,0,0,0,0,Synthetic thunderstorm wind training event in Northeast Corridor Zone 08; no real incident or person is represented.,Y
SRC_EVT_0000019,EVT0000019,EPI000010,SW07,Lake Country,Z128,Lake Country Zone 08,Lightning,Convective,2025-03-31T20:15:36Z,2025-03-31T22:59:36Z,Emergency Manager,,,0,0,0,0,64.95K,0,Synthetic lightning training event in Lake Country Zone 08; no real incident or person is represented.,Y
SRC_EVT_0000020,EVT0000020,EPI000011,SW09,Gulf Reach,Z166,Gulf Reach Zone 06,Dust Storm,Visibility,2025-06-12T01:42:15Z,2025-06-12T09:44:15Z,Trained Spotter,0.7,MI,0,0,0,0,24.46K,0,Synthetic dust storm training event in Gulf Reach Zone 06; no real incident or person is represented.,Y
SRC_EVT_0000021,EVT0000021,EPI000011,SW06,Prairie North,Z111,Prairie North Zone 11,Winter Storm,Winter,2025-10-11T13:31:14Z,2025-10-16T17:28:14Z,Public Report,,,0,0,0,0,0,0,Synthetic winter storm training event in Prairie North Zone 11; no real incident or person is represented.,Y
SRC_EVT_0000022,EVT0000022,EPI000011,SW04,Red Mesa,Z061,Red Mesa Zone 01,Lightning,Convective,2025-04-04T13:45:07Z,2025-04-04T14:16:07Z,Trained Spotter,,,0,0,0,0,0,0,Synthetic lightning training event in Red Mesa Zone 01; no real incident or person is represented.,Y
SRC_EVT_0000023,EVT0000023,EPI000011,SW01,North Coast,Z999,North Coast Zone 09,Lightning,Convective,2025-10-20T18:19:28Z,2025-10-20T20:48:28Z,Automated Sensor,,,0,0,0,0,0,0,Synthetic lightning training event in North Coast Zone 09; no real incident or person is represented.,Y
SRC_EVT_0000024,EVT0000024,EPI000012,SW04,Red Mesa,Z068,Red Mesa Zone 08,Hail,Convective,2025-11-29T23:13:10Z,2025-11-30T00:51:10Z,Automated Sensor,0.43,IN,0,0,0,0,0,0,Synthetic hail training event in Red Mesa Zone 08; no real incident or person is represented.,Y
SRC_EVT_0000025,EVT0000025,EPI000012,SW01,North Coast,Z006,North Coast Zone 06,Heat,Temperature,2025-06-20T20:39:20Z,2025-06-26T05:39:20Z,Trained Spotter,101.3,F,0,0,0,0,0,4.02K,Synthetic heat training event in North Coast Zone 06; no real incident or person is represented.,Y
SRC_EVT_0000026,EVT0000026,EPI000013,SW04,Red Mesa,Z068,Red Mesa Zone 08,Winter Storm,Winter,2025-02-08T09:24:32Z,2025-02-10T09:35:32Z,Emergency Manager,,,0,0,0,0,0,8.09K,Synthetic winter storm training event in Red Mesa Zone 08; no real incident or person is represented.,Y
SRC_EVT_0000027,EVT0000027,EPI000013,SW08,River Valley,Z144,River Valley Zone 04,Lightning,Convective,2025-11-11T19:36:53Z,2025-11-11T20:12:53Z,Fire Department,,,0,0,0,0,0,0,Synthetic lightning training event in River Valley Zone 04; no real incident or person is represented.,Y
SRC_EVT_0000028,EVT0000028,EPI000014,SW04,Red Mesa,Z072,Red Mesa Zone 12,Thunderstorm Wind,Convective,2025-05-13T13:42:46Z,2025-05-13T21:22:46Z,Media,76.8,KT,0,0,0,0,85.31K,0,Synthetic thunderstorm wind training event in Red Mesa Zone 12; no real incident or person is represented.,Y
SRC_EVT_0000029,EVT0000029,EPI000015,SW12,Northeast Corridor,Z237,Northeast Corridor Zone 17,Excessive Heat,Temperature,2025-07-14T10:41:42Z,2025-07-15T05:47:42Z,Emergency Manager,110.1,F,0,0,0,0,34.31K,0,Synthetic excessive heat training event in Northeast Corridor Zone 17; no real incident or person is represented.,Y
SRC_EVT_0000030,EVT0000030,EPI000016,SW09,Gulf Reach,Z164,Gulf Reach Zone 04,Hail,Convective,2025-04-09T04:27:26Z,2025-04-09T05:44:26Z,Automated Sensor,0.79,IN,0,0,0,0,0,0,Synthetic hail training event in Gulf Reach Zone 04; no real incident or person is represented.,Y
SRC_EVT_0000031,EVT0000031,EPI000016,SW10,Atlantic Ridge,Z195,Atlantic Ridge Zone 15,Thunderstorm Wind,Convective,2025-02-10T05:27:33Z,2025-02-10T14:22:33Z,Emergency Manager,58.8,KT,0,0,0,0,0,0,Synthetic thunderstorm wind training event in Atlantic Ridge Zone 15; no real incident or person is represented.,Y
SRC_EVT_0000032,EVT0000032,EPI000017,SW09,Gulf Reach,Z169,Gulf Reach Zone 09,Cold/Wind Chill,Temperature,2025-11-27T00:55:42Z,2025-12-04T17:51:42Z,Automated Sensor,-12.4,F,0,0,0,0,0,0,Synthetic cold/wind chill training event in Gulf Reach Zone 09; no real incident or person is represented.,Y
SRC_EVT_0000033,EVT0000033,EPI000017,SW05,Great Basin,Z082,Great Basin Zone 02,High Wind,Wind,2025-07-01T18:54:58Z,2025-07-01T22:15:58Z,Public Report,76.3,KT,0,0,0,0,1.32K,0,Synthetic high wind training event in Great Basin Zone 02; no real incident or person is represented.,Y
SRC_EVT_0000034,EVT0000034,EPI000018,SW10,Atlantic Ridge,Z196,Atlantic Ridge Zone 16,Heavy Snow,Winter,2025-07-04T19:56:50Z,2025-07-09T16:38:50Z,Public Report,2.42,IN,0,0,0,0,0,0,Synthetic heavy snow training event in Atlantic Ridge Zone 16; no real incident or person is represented.,Y
SRC_EVT_0000035,EVT0000035,EPI000019,SW12,Northeast Corridor,Z233,Northeast Corridor Zone 13,Hail,Convective,2025-06-12T22:51:47Z,2025-06-13T01:47:47Z,Trained Spotter,0.54,IN,0,0,0,0,0,0,Synthetic hail training event in Northeast Corridor Zone 13; no real incident or person is represented.,Y
SRC_EVT_0000036,EVT0000036,EPI000020,SW09,Gulf Reach,Z176,Gulf Reach Zone 16,Excessive Heat,Temperature,2025-08-01T09:33:02Z,2025-08-08T20:40:02Z,Media,105.0,F,0,0,0,0,59.91K,0,Synthetic excessive heat training event in Gulf Reach Zone 16; no real incident or person is represented.,Y
SRC_EVT_0000037,EVT0000037,EPI000021,SW11,Pine Highlands,Z209,Pine Highlands Zone 09,Excessive Heat,Temperature,2025-01-17T05:52:52Z,2025-01-24T22:44:52Z,Automated Sensor,83.9,F,0,0,0,0,30.05K,0,Synthetic excessive heat training event in Pine Highlands Zone 09; no real incident or person is represented.,Y
SRC_EVT_0000038,EVT0000038,EPI000021,SW10,Atlantic Ridge,Z183,Atlantic Ridge Zone 03,Cold/Wind Chill,Temperature,2025-06-13T20:32:17Z,2025-06-19T10:46:17Z,Emergency Manager,-27.1,F,0,0,0,0,0,0,Synthetic cold/wind chill training event in Atlantic Ridge Zone 03; no real incident or person is represented.,Y
SRC_EVT_0000039,EVT0000039,EPI000021,SW05,Great Basin,Z094,Great Basin Zone 14,Drought,Dry,2025-04-12T23:53:20Z,2025-04-14T06:19:20Z,Media,,,0,0,0,0,0,0,Synthetic drought training event in Great Basin Zone 14; no real incident or person is represented.,Y
SRC_EVT_0000040,EVT0000040,EPI000021,SW02,Cascade,Z035,Cascade Zone 15,Rip Current,Coastal,2025-08-23T22:18:11Z,2025-08-24T21:26:11Z,Trained Spotter,,,0,0,0,0,0,0,Synthetic rip current training event in Cascade Zone 15; no real incident or person is represented.,Y
SRC_EVT_0000041,EVT0000041,EPI000022,SW07,Lake Country,Z130,Lake Country Zone 10,Hail,Convective,2025-11-04T23:56:15Z,2025-11-05T02:20:15Z,Media,2.59,IN,0,0,0,0,13.38K,0,Synthetic hail training event in Lake Country Zone 10; no real incident or person is represented.,Y
SRC_EVT_0000042,EVT0000042,EPI000023,SW02,Cascade,Z024,Cascade Zone 04,Extreme Cold,Temperature,2025-09-20T20:47:27Z,2025-09-28T20:40:27Z,Media,-29.6,F,0,0,0,0,0,0,Synthetic extreme cold training event in Cascade Zone 04; no real incident or person is represented.,Y
SRC_EVT_0000043,EVT0000043,EPI000024,SW10,Atlantic Ridge,Z192,Atlantic Ridge Zone 12,Hail,Convective,2025-05-04T18:41:12Z,2025-05-04T18:56:12Z,Trained Spotter,1.09,IN,0,0,0,0,0,0,Synthetic hail training event in Atlantic Ridge Zone 12; no real incident or person is represented.,Y
SRC_EVT_0000044,EVT0000044,EPI000024,SW04,Red Mesa,Z071,Red Mesa Zone 11,Lightning,Convective,2025-03-17T19:20:25Z,2025-03-17T21:41:25Z,Fire Department,,,0,0,0,0,0,0,Synthetic lightning training event in Red Mesa Zone 11; no real incident or person is represented.,Y
SRC_EVT_0000045,EVT0000045,EPI000025,SW05,Great Basin,Z087,Great Basin Zone 07,Hail,Convective,2025-06-30T06:00:52Z,2025-06-30T07:30:52Z,Trained Spotter,0.83,IN,0,0,0,0,0,0,Synthetic hail training event in Great Basin Zone 07; no real incident or person is represented.,Y
SRC_EVT_0000046,EVT0000046,EPI000025,SW04,Red Mesa,Z070,Red Mesa Zone 10,Excessive Heat,Temperature,2025-07-07T18:56:21Z,2025-07-13T13:41:21Z,Media,121.7,F,0,0,0,0,0,68.86K,Synthetic excessive heat training event in Red Mesa Zone 10; no real incident or person is represented.,Y
SRC_EVT_0000047,EVT0000047,EPI000025,SW12,Northeast Corridor,Z236,Northeast Corridor Zone 16,Heat,Temperature,2025-07-19T16:55:49Z,2025-07-24T12:31:49Z,Automated Sensor,106.8,F,0,0,0,0,0,0,Synthetic heat training event in Northeast Corridor Zone 16; no real incident or person is represented.,Y
SRC_EVT_0000048,EVT0000048,EPI000025,SW10,Atlantic Ridge,Z195,Atlantic Ridge Zone 15,Drought,Dry,2025-06-14T21:52:43Z,2025-06-17T07:00:43Z,Public Report,,,0,0,0,0,0,0,Synthetic drought training event in Atlantic Ridge Zone 15; no real incident or person is represented.,Y
SRC_EVT_0000049,EVT0000049,EPI000026,SW05,Great Basin,Z088,Great Basin Zone 08,Wildfire,Fire,2025-12-23T20:19:31Z,2025-12-29T09:04:31Z,Emergency Manager,718.4,ACRES,0,0,0,0,0,0,Synthetic wildfire training event in Great Basin Zone 08; no real incident or person is represented.,Y
SRC_EVT_0000050,EVT0000050,EPI000027,SW05,Great Basin,Z082,Great Basin Zone 02,Thunderstorm Wind,Convective,2025-08-19T01:27:13Z,2025-08-19T11:12:13Z,Fire Department,74.2,KT,0,0,0,0,24.87K,0,Synthetic thunderstorm wind training event in Great Basin Zone 02; no real incident or person is represented.,Y
SRC_EVT_0000051,EVT0000051,EPI000027,SW12,Northeast Corridor,Z236,Northeast Corridor Zone 16,Strong Wind,Wind,2025-01-09T18:45:48Z,2025-01-09T22:53:48Z,Fire Department,20.0,KT,0,0,0,0,0,0,Synthetic strong wind training event in Northeast Corridor Zone 16; no real incident or person is represented.,Y
SRC_EVT_0000052,EVT0000052,EPI000028,SW12,Northeast Corridor,Z233,Northeast Corridor Zone 13,Heavy Rain,Flood,2025-06-29T09:47:59Z,2025-06-30T19:44:59Z,Media,,,0,0,0,0,14.20K,0,Synthetic heavy rain training event in Northeast Corridor Zone 13; no real incident or person is represented.,Y
SRC_EVT_0000053,EVT0000053,EPI000029,SW11,Pine Highlands,Z215,Pine Highlands Zone 15,Heavy Rain,Flood,2025-08-03T15:47:41Z,2025-08-05T04:32:41Z,Trained Spotter,,,0,0,0,0,0,58.08K,Synthetic heavy rain training event in Pine Highlands Zone 15; no real incident or person is represented.,Y
SRC_EVT_0000054,EVT0000054,EPI000030,SW05,Great Basin,Z096,Great Basin Zone 16,Drought,Dry,2025-02-06T05:31:27Z,2025-02-08T08:40:27Z,Media,,,0,0,0,0,10.76K,0,Synthetic drought training event in Great Basin Zone 16; no real incident or person is represented.,Y
SRC_EVT_0000055,EVT0000055,EPI000030,SW06,Prairie North,Z113,Prairie North Zone 13,High Wind,Wind,2025-02-06T20:47:22Z,2025-02-07T04:14:22Z,Emergency Manager,52.4,KT,0,0,0,0,10.32K,0,Synthetic high wind training event in Prairie North Zone 13; no real incident or person is represented.,Y
SRC_EVT_0000056,EVT0000056,EPI000031,SW02,Cascade,Z026,Cascade Zone 06,Hail,Convective,2025-02-04T20:55:12Z,2025-02-04T22:27:12Z,Media,1.19,IN,0,0,0,0,0,0,Synthetic hail training event in Cascade Zone 06; no real incident or person is represented.,Y
SRC_EVT_0000057,EVT0000057,EPI000031,SW09,Gulf Reach,Z180,Gulf Reach Zone 20,Thunderstorm Wind,Convective,2025-03-05T01:50:15Z,2025-03-05T07:39:15Z,Public Report,56.9,KT,0,0,0,0,0,0,Synthetic thunderstorm wind training event in Gulf Reach Zone 20; no real incident or person is represented.,Y
SRC_EVT_0000058,EVT0000058,EPI000031,SW04,Red Mesa,Z080,Red Mesa Zone 20,Funnel Cloud,Convective,2025-10-17T17:05:29Z,2025-10-17T19:20:29Z,Emergency Manager,,,0,0,0,0,0,0,Synthetic funnel cloud training event in Red Mesa Zone 20; no real incident or person is represented.,Y
SRC_EVT_0000059,EVT0000059,EPI000031,SW02,Cascade,Z030,Cascade Zone 10,Coastal Flood,Coastal,2025-11-18T20:59:39Z,2025-11-20T12:58:39Z,Emergency Manager,,,0,0,0,0,80.93K,0,Synthetic coastal flood training event in Cascade Zone 10; no real incident or person is represented.,Y
SRC_EVT_0000060,EVT0000060,EPI000032,SW07,Lake Country,Z140,Lake Country Zone 20,Thunderstorm Wind,Convective,2025-05-24T00:06:00Z,2025-05-24T11:49:00Z,Fire Department,52.7,KT,0,0,0,0,0,0,Synthetic thunderstorm wind training event in Lake Country Zone 20; no real incident or person is represented.,Y
SRC_EVT_0000061,EVT0000061,EPI000033,SW02,Cascade,Z026,Cascade Zone 06,Thunderstorm Wind,Convective,2025-10-15T04:21:00Z,2025-10-15T04:47:00Z,Emergency Manager,58.6,KT,0,0,0,0,0,0,Synthetic thunderstorm wind training event in Cascade Zone 06; no real incident or person is represented.,Y
SRC_EVT_0000062,EVT0000062,EPI000034,SW07,Lake Country,Z125,Lake Country Zone 05,Flash Flood,Flood,2025-02-24T14:16:09Z,2025-02-25T06:55:09Z,Fire Department,,,0,0,0,0,11.10K,0,Synthetic flash flood training event in Lake Country Zone 05; no real incident or person is represented.,Y
SRC_EVT_0000063,EVT0000063,EPI000034,SW05,Great Basin,Z097,Great Basin Zone 17,Cold/Wind Chill,Temperature,2025-05-19T17:28:27Z,2025-05-24T20:30:27Z,Trained Spotter,-6.2,F,0,0,0,0,0,0,Synthetic cold/wind chill training event in Great Basin Zone 17; no real incident or person is represented.,Y
SRC_EVT_0000064,EVT0000064,EPI000034,SW05,Great Basin,Z095,Great Basin Zone 15,Flash Flood,Flood,2025-01-27T10:57:37Z,2025-01-29T15:28:37Z,Automated Sensor,,,0,0,0,0,0,0,Synthetic flash flood training event in Great Basin Zone 15; no real incident or person is represented.,Y
SRC_EVT_0000065,EVT0000065,EPI000035,SW02,Cascade,Z038,Cascade Zone 18,Lightning,Convective,2025-01-09T11:18:12Z,2025-01-09T13:12:12Z,Trained Spotter,,,0,0,0,0,0,0,Synthetic lightning training event in Cascade Zone 18; no real incident or person is represented.,Y
SRC_EVT_0000066,EVT0000066,EPI000035,SW07,Lake Country,Z135,Lake Country Zone 15,Hail,Convective,2025-07-18T11:08:03Z,2025-07-18T11:50:03Z,Media,0.34,IN,0,0,0,0,5.53K,0,Synthetic hail training event in Lake Country Zone 15; no real incident or person is represented.,Y
SRC_EVT_0000067,EVT0000067,EPI000036,SW01,North Coast,Z015,North Coast Zone 15,Dust Storm,Visibility,2025-11-21T23:18:37Z,2025-11-22T05:15:37Z,Media,0.36,MI,0,0,0,0,0,0,Synthetic dust storm training event in North Coast Zone 15; no real incident or person is represented.,Y
SRC_EVT_0000068,EVT0000068,EPI000037,SW12,Northeast Corridor,Z240,Northeast Corridor Zone 20,Blizzard,Winter,2025-07-12T05:25:34Z,2025-07-17T19:28:34Z,Media,66.2,KT,0,0,0,0,6.99K,16.44K,Synthetic blizzard training event in Northeast Corridor Zone 20; no real incident or person is represented.,Y
SRC_EVT_0000069,EVT0000069,EPI000037,SW12,Northeast Corridor,Z230,Northeast Corridor Zone 10,Hail,Convective,2025-02-19T22:12:08Z,2025-02-19T23:46:08Z,Public Report,1.53,IN,0,0,0,0,0,0,Synthetic hail training event in Northeast Corridor Zone 10; no real incident or person is represented.,Y
SRC_EVT_0000070,EVT0000070,EPI000037,SW06,Prairie North,Z107,Prairie North Zone 07,Ice Storm,Winter,2025-01-22T03:03:02Z,2025-01-22T01:03:02Z,Emergency Manager,,,0,0,0,0,37.35K,0,Synthetic ice storm training event in Prairie North Zone 07; no real incident or person is represented.,Y
SRC_EVT_0000071,EVT0000071,EPI000038,SW10,Atlantic Ridge,Z192,Atlantic Ridge Zone 12,Dense Fog,Visibility,2025-10-01T08:35:16Z,2025-10-01T15:52:16Z,Public Report,0.54,MI,0,0,0,0,1.24K,0,Synthetic dense fog training event in Atlantic Ridge Zone 12; no real incident or person is represented.,Y
SRC_EVT_0000072,EVT0000072,EPI000038,SW02,Cascade,Z033,Cascade Zone 13,High Wind,Wind,2025-07-07T00:17:54Z,2025-07-07T11:19:54Z,Media,46.4,KT,0,0,0,0,0,0,Synthetic high wind training event in Cascade Zone 13; no real incident or person is represented.,Y
SRC_EVT_0000073,EVT0000073,EPI000038,SW08,River Valley,Z157,River Valley Zone 17,Tornado,Convective,2025-03-08T08:49:17Z,2025-03-08T11:26:17Z,Emergency Manager,0.0,EF,0,0,0,0,93.53K,0,Synthetic tornado training event in River Valley Zone 17; no real incident or person is represented.,Y
SRC_EVT_0000074,EVT0000074,EPI000038,SW09,Gulf Reach,Z177,Gulf Reach Zone 17,Flash Flood,Flood,2025-05-25T21:54:52Z,2025-05-28T12:01:52Z,Public Report,,,0,0,0,0,37.68K,0,Synthetic flash flood training event in Gulf Reach Zone 17; no real incident or person is represented.,Y
SRC_EVT_0000075,EVT0000075,EPI000039,SW07,Lake Country,Z123,Lake Country Zone 03,Strong Wind,Wind,2025-08-03T08:15:27Z,2025-08-03T15:38:27Z,Public Report,45.5,KT,0,0,0,0,0,0,Synthetic strong wind training event in Lake Country Zone 03; no real incident or person is represented.,Y
SRC_EVT_0000076,EVT0000076,EPI000039,SW11,Pine Highlands,Z209,Pine Highlands Zone 09,High Wind,Wind,2025-09-29T13:49:51Z,2025-09-29T17:56:51Z,Automated Sensor,35.7,KT,0,0,0,0,15.45K,0,Synthetic high wind training event in Pine Highlands Zone 09; no real incident or person is represented.,Y
SRC_EVT_0000077,EVT0000077,EPI000039,SW03,High Plains,Z054,High Plains Zone 14,Hail,Convective,2025-08-27T07:56:11Z,2025-08-27T08:52:11Z,Media,1.53,IN,0,0,0,0,1.89K,0,Synthetic hail training event in High Plains Zone 14; no real incident or person is represented.,Y
SRC_EVT_0000078,EVT0000078,EPI000039,SW04,Red Mesa,Z075,Red Mesa Zone 15,Heavy Rain,Flood,2025-03-31T08:29:35Z,2025-04-02T21:24:35Z,Emergency Manager,,,0,0,0,0,0,0,Synthetic heavy rain training event in Red Mesa Zone 15; no real incident or person is represented.,Y
SRC_EVT_0000079,EVT0000079,EPI000040,SW02,Cascade,Z027,Cascade Zone 07,Lightning,Convective,2025-07-08T13:56:14Z,2025-07-08T16:31:14Z,Emergency Manager,,,0,0,0,0,0,0,Synthetic lightning training event in Cascade Zone 07; no real incident or person is represented.,Y
SRC_EVT_0000080,EVT0000080,EPI000041,SW12,Northeast Corridor,Z232,Northeast Corridor Zone 12,Tornado,Convective,2025-02-14T08:08:05Z,2025-02-14T09:38:05Z,Emergency Manager,0.0,EF,0,0,0,0,164.01K,0,Synthetic tornado training event in Northeast Corridor Zone 12; no real incident or person is represented.,Y
SRC_EVT_0000081,EVT0000081,EPI000042,SW06,Prairie North,Z103,Prairie North Zone 03,High Wind,Wind,2025-12-15T22:25:59Z,2025-12-15T23:52:59Z,Trained Spotter,38.4,KT,0,0,0,0,0,0,Synthetic high wind training event in Prairie North Zone 03; no real incident or person is represented.,Y
SRC_EVT_0000082,EVT0000082,EPI000043,SW06,Prairie North,Z108,Prairie North Zone 08,High Wind,Wind,2025-12-12T17:08:19Z,2025-12-13T03:19:19Z,Media,60.1,KT,0,0,0,0,8.56K,0,Synthetic high wind training event in Prairie North Zone 08; no real incident or person is represented.,Y
SRC_EVT_0000083,EVT0000083,EPI000044,SW08,River Valley,Z143,River Valley Zone 03,Heavy Rain,Flood,2025-12-22T10:17:26Z,2025-12-22T21:46:26Z,Public Report,,,0,0,0,0,0,0,Synthetic heavy rain training event in River Valley Zone 03; no real incident or person is represented.,Y
SRC_EVT_0000084,EVT0000084,EPI000045,SW04,Red Mesa,Z079,Red Mesa Zone 19,Lightning,Convective,2025-02-06T03:11:06Z,2025-02-06T03:32:06Z,Public Report,,,0,0,0,0,0,0,Synthetic lightning training event in Red Mesa Zone 19; no real incident or person is represented.,Y
SRC_EVT_0000085,EVT0000085,EPI000046,SW10,Atlantic Ridge,Z196,Atlantic Ridge Zone 16,Hail,Convective,2025-01-15T01:59:21Z,2025-01-15T04:06:21Z,Fire Department,9999,BAD,0,0,0,0,0,0,Synthetic hail training event in Atlantic Ridge Zone 16; no real incident or person is represented.,Y
SRC_EVT_0000086,EVT0000086,EPI000046,SW09,Gulf Reach,Z169,Gulf Reach Zone 09,Thunderstorm Wind,Convective,2025-04-30T01:46:15Z,2025-04-30T07:31:15Z,Public Report,82.1,KT,0,0,0,0,0,0,Synthetic thunderstorm wind training event in Gulf Reach Zone 09; no real incident or person is represented.,Y
SRC_EVT_0000087,EVT0000087,EPI000047,SW09,Gulf Reach,Z165,Gulf Reach Zone 05,Flash Flood,Flood,2025-12-25T05:24:49Z,2025-12-25T12:44:49Z,Emergency Manager,,,0,0,0,0,0,0,Synthetic flash flood training event in Gulf Reach Zone 05; no real incident or person is represented.,Y
